bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,2,0,0,,,,aqp,atak1252,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://grambank.clld.org/languages/atak1252"", ""label"": ""Atakapa""}, {""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-Atakapa"", ""label"": ""Atakapa""}, {""url"": ""https://wals.info/languoid/lect/wals_code_atk"", ""label"": ""Atakapa""}, {""url"": ""https://en.wikipedia.org/wiki/Atakapa_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q10975683"", ""label"": null}], ""meds"": [[""663837"", ""long_grammar"", 2022, 316, ""Geoffrey D. Kimball 2022""], [""322954"", ""grammar_sketch"", 1981, 82, ""Jonel Macris Mueller 1981""], [""112215"", ""grammar_sketch"", 1929, 29, ""John R. Swanton 1929""], [""35871"", ""wordlist_or_less"", 1919, 20, ""de Villiers du Terrage and Paul Rivet 1919""], [""134101"", ""wordlist_or_less"", 1848, 3, ""Horatio Hale 1848""]]}",30.9121,language,-93.0827,North America,,Atakapa,"('Eastern Atakapa [east2802]':1,'Western Atakapa [west2881]':1)'Atakapa [atak1252][aqp]-l-':1",25
False,Spoken L1 Language,0,0,0,,,,xwa,kwaz1243,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/3033"", ""label"": ""Kwaza""}, {""url"": ""https://grambank.clld.org/languages/kwaz1243"", ""label"": ""Kwaza""}, {""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-Kwaza"", ""label"": ""Kwaza""}, {""url"": ""https://wals.info/languoid/lect/wals_code_kwz"", ""label"": ""Kwaza""}, {""url"": ""https://en.wikipedia.org/wiki/Kwaza_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/kwaz1243"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q3200839"", ""label"": null}], ""meds"": [[""113827"", ""long_grammar"", 2004, 1064, ""Hein van der Voort 2004""], [""141415"", ""long_grammar"", 2000, 780, ""Hein van der Voort 2000""], [""128504"", ""grammar_sketch"", 1997, 20, ""Hein van der Voort 1997""], [""52389"", ""wordlist_or_less"", 1984, 6, ""Carlson, Harvey 1984""], [""161469"", ""wordlist_or_less"", 1963, 1, ""\u010cestm\u00edr Loukotka 1963""]]}",-11.6667,language,-61.1833,South America,,Kwaza,'Kwaza [kwaz1243][xwa]-l-':1,27
False,Spoken L1 Language,0,0,0,,,,kbh,cams1241,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/1516"", ""label"": ""Cams\u00e1""}, {""url"": ""https://grambank.clld.org/languages/cams1241"", ""label"": ""Cams\u00e1""}, {""url"": ""https://wals.info/languoid/lect/wals_code_cam"", ""label"": ""Cams\u00e1""}, {""url"": ""https://lexibank.clld.org/languages/hubercolumbian-Kamsa"", ""label"": ""Kams\u00e1""}, {""url"": ""https://lexibank.clld.org/languages/chaconcolumbian-Kamsa"", ""label"": ""kams\u00e1""}, {""url"": ""https://en.wikipedia.org/wiki/Kam%C3%ABnt%C5%A1%C3%A1_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/cams1241"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q2842667"", ""label"": null}], ""meds"": [[""575601"", ""grammar"", 2018, 278, ""O'Brien, Colleen Alena 2018""], [""19797"", ""grammar"", 1979, 9, ""na 1979""], [""158929"", ""grammar"", 1977, 0, ""Woods, Frances M. and Longacre, Robert E. 1977""], [""137493"", ""grammar"", 1976, 0, ""Longacre, Robert E. and Woods, Frances 1976""], [""103293"", ""grammar_sketch"", 1966, 0, ""Bristol, Melvin 1966""], [""96247"", ""wordlist_or_less"", 1962, 31, ""Juajibioy Chindoy, Alberto 1962""], [""28208"", ""wordlist_or_less"", 1905, 19, ""Joaquin Rocha 1905""], [""47515"", ""wordlist_or_less"", 1891, 2, ""Adolf Ernst 1891""]]}",1.14537,language,-76.8931,South America,,Camsá,'Camsá [cams1241][kbh]-l-':1,28
False,Spoken L1 Language,0,0,0,,,,dby,dibi1240,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/10735"", ""label"": ""Dibiyaso""}, {""url"": ""https://lexibank.clld.org/languages/transnewguineaorg-dibiyaso"", ""label"": ""Dibiyaso""}, {""url"": ""https://en.wikipedia.org/wiki/Dibiyaso_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q5272268"", ""label"": null}], ""meds"": [[""112728"", ""wordlist_or_less"", 1976, 3, ""Ger P. Reesink 1976""], [""142333"", ""wordlist_or_less"", 1975, 1, ""John Z'graggen 1975""], [""53251"", ""wordlist_or_less"", 1924, 1, ""Alex C. Rentoul 1924""]]}",-7.82096,language,142.779,Papunesia,,Dibiyaso,'Dibiyaso [dibi1240][dby]-l-':1,29
False,Spoken L1 Language,2,0,0,,,,NOCODE_Sechuran,sech1236,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Sechuran"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24"", ""E25"", ""E26"", ""E27"", ""E28""], ""comment"": ""Sechuran, an extinct poorly attested Peruvian language of uncertain affiliation, is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24/E25/E26/E27/E28 (**hh:w:Zevallos:Costa**, **hh:w:vonBuchwald:Migraciones-Sudamericas**, **hh:hv:Adelaar:Andes**, **hh:hvw:Loukotka:Inconnues**).""}, ""links"": [{""url"": ""https://en.wikipedia.org/wiki/Sechura_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q7442912"", ""label"": null}], ""meds"": [[""578151"", ""wordlist_or_less"", 2015, 19, ""Urban, Matthias 2015""], [""76019"", ""wordlist_or_less"", 1919, 10, ""von Buchwald, Otto 1919""]]}",-5.568969,language,-80.828247,South America,,Sechuran,"('Olmos [olmo1234]':1,'Sec [secc1234]':1)'Sechuran [sech1236]-l-':1",31
False,Spoken L1 Language,9,0,0,,,,kun,kuna1268,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://grambank.clld.org/languages/kuna1268"", ""label"": ""Kunama""}, {""url"": ""https://wals.info/languoid/lect/wals_code_knm"", ""label"": ""Kunama""}, {""url"": ""https://en.wikipedia.org/wiki/Kunama_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/kuna1268"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q36041"", ""label"": null}], ""meds"": [[""548360"", ""grammar"", 1938, 273, ""da Castelnuovo del Zappa, Giuseppe-Fermo 1938""], [""26973"", ""grammar_sketch"", 1891, 136, ""Reinisch, Simon Leo 1891""], [""126066"", ""grammar_sketch"", 1890, 112, ""Reinisch, Simon Leo 1890""], [""143819"", ""grammar_sketch"", 1889, 94, ""Reinisch, Simon Leo 1889""], [""17585"", ""grammar_sketch"", 1881, 91, ""Reinisch, Leo 1881, 1889, 1890""], [""113527"", ""grammar_sketch"", 1873, 71, ""Englund, Petrus 1873""], [""83649"", ""wordlist_or_less"", 1848, 3, ""Latham, Robert G. 1848""]]}",14.5879,language,37.5292,Africa,,Kunama,"('Aimara [aima1242]':1,'Barka [bark1246]':1,'Bitama [bita1252]':1,'Ilit [ilit1242]':1,'Marda [mard1244]':1,'Sokodasa [soko1249]':1,'Takazze-Setiit [taka1265]':1,'Tigray [tigr1252]':1,'Tika [tika1245]':1)'Kunama [kuna1268][kun]-l-':1",34
False,Spoken L1 Language,0,0,0,,,,yet,yetf1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/10579"", ""label"": ""Yetfa-Biksi""}, {""url"": ""https://www.wikidata.org/entity/Q8053020"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Biksi-Yetfa_language"", ""label"": null}], ""meds"": [[""98517"", ""wordlist_or_less"", 1972, 4, ""Don Laycock 1972""]]}",-4.05884,language,140.653,Papunesia,,Yetfa,'Yetfa [yetf1238][yet]-l-':1,35
False,Spoken L1 Language,0,0,0,,,,ggk,kung1259,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://collection.aiatsis.gov.au/austlang/language/n14"", ""label"": ""Kungarakany""}, {""url"": ""https://endangeredlanguages.com/lang/6660"", ""label"": ""Kungarakany""}, {""url"": ""https://grambank.clld.org/languages/kung1259"", ""label"": ""Kungarakany""}, {""url"": ""https://en.wikipedia.org/wiki/Kungarakany_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/kung1259"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q6444516"", ""label"": null}], ""meds"": [[""100209"", ""grammar_sketch"", 1983, 96, ""Lucy Parish 1983""], [""148903"", ""wordlist_or_less"", 1968, 1, ""Darrell T. Tryon 1968""], [""1166"", ""wordlist_or_less"", 1901, 2, ""Mathews, Robert Hamilton 1901""]]}",-12.7,language,130.881,Australia,,Kungarakany,'Kungarakany [kung1259][ggk]-l-':1,41
False,Spoken L1 Language,5,0,0,,,,cbu,cand1248,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/1958"", ""label"": ""Candoshi""}, {""url"": ""https://wals.info/languoid/lect/wals_code_can"", ""label"": ""Candoshi""}, {""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-CandoshiShapra"", ""label"": ""Candoshi-Shapra""}, {""url"": ""https://en.wikipedia.org/wiki/Candoshi-Shapra_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/cand1248"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q642843"", ""label"": null}], ""meds"": [[""666220"", ""grammar_sketch"", 2023, 44, ""Simon E. Overall 2023""], [""29857"", ""grammar_sketch"", 1963, 36, ""Anderson, Loretta and Wise, Mary Ruth 1963""], [""142080"", ""phonology_or_text"", 1957, 12, ""Cox, Doris 1957""], [""309231"", ""wordlist_or_less"", 1928, 36, ""Le\u00f3n, Agust\u00edn M. 1928, 1929""], [""29841"", ""wordlist_or_less"", 1897, 1, ""An\u00f3nimo 1897""]]}",-4.23835,language,-76.9347,South America,,Candoshi-Shapra,"('Chirino [chir1297]':1,'Huitoyacu Kandozi [huit1253]':1,('Chapra [chap1270]':1,'Kandoshi [kand1305]':1)'Murato-Chapra [mura1278]':1)'Candoshi-Shapra [cand1248][cbu]-l-':1",45
False,Spoken L1 Language,3,0,0,,,,bsk,buru1296,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/1614"", ""label"": ""Burushaski""}, {""url"": ""https://grambank.clld.org/languages/buru1296"", ""label"": ""Burushaski""}, {""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-Burushaski"", ""label"": ""Burushaski""}, {""url"": ""https://lexibank.clld.org/languages/joophonosemantic-Burushaski"", ""label"": ""Burushaski""}, {""url"": ""https://lexibank.clld.org/languages/northeuralex-bsk"", ""label"": ""Burushaski""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bur"", ""label"": ""Burushaski""}, {""url"": ""https://en.wikipedia.org/wiki/Burushaski"", ""label"": null}, {""url"": ""https://phoible.org/languages/buru1296"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q216286"", ""label"": null}], ""meds"": [[""76510"", ""long_grammar"", 1935, 477, ""D. L. R. Lorimer 1935""], [""147474"", ""grammar_sketch"", 1889, 261, ""Gottlieb William von Leitner 1889""], [""318199"", ""phonology_or_text"", 1880, 10, ""John Biddulph 1880""]]}",36.2161,language,74.8236,Eurasia,,Burushaski,"('Hunza [hunz1248]':1,'Nagar [naga1398]':1,'Yasin [yasi1237]':1)'Burushaski [buru1296][bsk]-l-':1",48
